,church_name,address,telephone number,priest,confession,links,additional info,last update,coords,long,lat
11,Our Lady of Fatima Parish,"Kumintang cor. Magat Salamat Sts., Urduja Village, Novaliches, Caloocan City, Metro Manila",0929 705 9433,Rev. Fr. Aristeo De Leon,,,FIRST FRIDAY: Holy Hour; 4:30pm | First Friday Mass; 6:00pm,"Mon Dec 5, 2022 1:22PM","{'lat': 14.744224, 'lng': 121.035318}",121.035318,14.744224
12,Our Lady of Lourdes Parish,"1117 Petunia cor Chrysanthemum, Caloocan City, Metro Manila",(02) 962 7954,,,,,"Mon Dec 5, 2022 1:40PM","{'lat': 14.7619129, 'lng': 121.0475307}",121.0475307,14.7619129
13,Our Lady of Peace and Good Voyage Parish,"Paraiso St., Sampaguita Subd.,Bagumbong, Caloocan City, Metro Manila",0926 027 4883,,,,,"Mon Dec 5, 2022 1:49PM","{'lat': 14.768197, 'lng': 121.0345542}",121.0345542,14.768197
14,Our Lady of the Holy Rosary Parish,"Father Hofstee Road, Langit 1, Barrio San Isidro, Tala, Caloocan City, Metro Manila",0921 235 4571,,,,,"Mon Dec 5, 2022 1:57PM","{'lat': 14.7702296, 'lng': 121.0586017}",121.0586017,14.7702296
15,Sacred Heart of Jesus Parish,"Pilar Road, Morning Breeze Subdivision, Caloocan City, Metro Manila",283610570,,,,,"Mon Dec 5, 2022 2:19PM","{'lat': 14.6610196, 'lng': 120.9884221}",120.9884221,14.6610196
16,Sacred Heart Parish,"#350 General Luis, Caybiga, Caloocan City, Metro Manila",286513157,,,,,"Mon Dec 5, 2022 2:25PM","{'lat': 14.7192643, 'lng': 121.0131004}",121.0131004,14.7192643
17,Sagrada Familia Parish,"61 Banal St.6th Ave., Caloocan City, Metro Manila",0968 379 1940,,,,,"Mon Dec 5, 2022 2:34PM","{'lat': 14.6650211, 'lng': 120.9974373}",120.9974373,14.6650211
18,Saint Agnes Parish,"Rosas St. corner Champaca St., Almar Subdivision, Camarin, Caloocan City, Metro Manila",289629004,,,,,"Mon Dec 5, 2022 2:39PM","{'lat': 14.7555233, 'lng': 121.044091}",121.044091,14.7555233
19,Saint Joseph Parish,"1427 St. Joseph Avenue, Barracks II, Tala, Caloocan City, Metro Manila",961-1524,,,,,"Mon Dec 5, 2022 2:49PM","{'lat': 14.7655534, 'lng': 121.0726911}",121.0726911,14.7655534
20,San Exequiel Moreno Parish,"Labahita corner Langaray Street, Phase 2, Kaunlaran Village, Caloocan City, Metro Manila",8-288-9050,Rev  Fr. Dennis Salise,,,,"Mon Dec 5, 2022 4:02PM","{'lat': 14.6482391, 'lng': 120.9620343}",120.9620343,14.6482391
21,San Jose Parish,"Agudo corner Cabatuan Streets, Caloocan City, Metro Manila",8364-46-74,Rev. Fr. Carlos C. Ida,,,,"Mon Dec 5, 2022 5:05PM","{'lat': 14.6375536, 'lng': 120.990484}",120.990484,14.6375536
22,"San Jose, Amang Mapagkalinga Parish","Phase 5, Bagong Silang, Caloocan City, Metro Manila",0977 051 1218,,,,,"Sun Apr 2, 2023 12:52AM","{'lat': 14.7715728, 'lng': 121.0563789}",121.0563789,14.7715728
23,San Roque Cathedral,"A. Mabini Street, Caloocan City, Metro Manila",288-52-52,,Wed and Fri: 6:30PM,,,"Mon Dec 5, 2022 5:31PM","{'lat': 14.646765, 'lng': 120.9738305}",120.9738305,14.646765
24,San Roque Parish,"Phase 9, Bagong Silang, Caloocan City, Metro Manila",,,,,Monday at 3:00PM,"Thu Feb 1, 2024 2:17PM","{'lat': 14.7843852, 'lng': 121.0387222}",121.0387222,14.7843852
25,Santa Cruz Parish,"A-814, Bagumbong Road,Bagumbong, Caloocan City, Metro Manila",8984-3933,,,,,"Mon Dec 5, 2022 9:12PM","{'lat': 14.7511942, 'lng': 121.010124}",121.010124,14.7511942
26,Santo Kristo Parish,"Llano Road, Cor. Del Mundo Ave., Barangay 167 Llano, Caloocan City, Metro Manila",0956 970 2542,,,,,"Mon Dec 5, 2022 9:18PM","{'lat': 14.7325922, 'lng': 121.0124427}",121.0124427,14.7325922
27,Santo Niño de Congreso Parish,"Congressional Road, Caloocan City, Metro Manila",7504-32-22 / 0917-717-3536,,,,PARISH OFFICE HOURS:,"Mon Dec 5, 2022 9:36PM","{'lat': 14.6880636, 'lng': 121.0970964}",121.0970964,14.6880636
28,Shrine of Our Lady Of Grace,"St. Eugene De Mazenod Avenue, Grace Park, Caloocan City, Metro Manila",283644734,,,,,"Mon Dec 5, 2022 1:33PM","{'lat': 14.6560293, 'lng': 120.9715438}",120.9715438,14.6560293
29,St. Francis of Assisi and Sta Quiteria Parish,"Brgy 162. Tullahan Road, Sta. Quiteria, Caloocan City, Metro Manila",984-3063,"Rev. Fr. Rudy Abao,MSC",,,,"Mon Dec 5, 2022 9:43PM","{'lat': 14.6816983, 'lng': 121.0089316}",121.0089316,14.6816983
30,St. Gabriel the Archangel Parish,"Caimito Road, Caloocan City, Metro Manila",(02) 361 8106,,Thursday 5:30pm,,saintgabriel1963@gmail.com,"Mon Dec 5, 2022 9:55PM","{'lat': 14.658856, 'lng': 120.9804601}",120.9804601,14.658856
31,St. Joseph the Workman Parish,"Doña Rita St. cor Laon Laan St., Sampalukan, Caloocan City, Metro Manila",,,Thur: 5PM (Holy Hour and Confession),,sjwp04052022@gmail.com,"Fri Dec 30, 2022 3:22PM","{'lat': 14.6433207, 'lng': 120.9758776}",120.9758776,14.6433207
32,St. Pancratius Parish,"La Loma Cemetery Compound, Caloocan City, Metro Manila",,Rev. Fr. Ardie Ong,,,,"Wed Mar 17, 2010 10:43AM","{'lat': 14.6436755, 'lng': 120.9877692}",120.9877692,14.6436755
33,St. Paul of the Cross Parish,"Phase 8-A Bagong Silang, Caloocan City, Metro Manila",,,,,stpaulcp2015@gmail.com,"Mon Dec 5, 2022 10:07PM","{'lat': 14.7785695, 'lng': 121.0534294}",121.0534294,14.7785695
34,Sto. Niño de Bagong Silang Parish,"Phase 1, Bagong Silang, Caloocan City, Metro Manila",8962-8204,"Fr. Wilfredo Estraza, CP",Friday after 6PM Mass,,,"Mon Dec 5, 2022 9:37PM","{'lat': 14.774208, 'lng': 121.049686}",121.049686,14.774208
0,Alliance Of Two Hearts Parish,"corner of J. Fortich and HorseShoe Drive, Banawa, Cebu City, Cebu",255-3241,,"Mon to Sat: 6-7am, 5-6pm; Sunday: 8-9am, 5-6:30pm",,,"Fri Dec 15, 2023 3:21PM","{'lat': 10.311451, 'lng': 123.883049}",123.883049,10.311451
1,Archdiocesan Shrine of Our Lady of Guadalupe de Cebu (Guadalupe Church),"Guadalupe, Cebu City, Cebu",254-4593,,,,Langub Mass Schedule,"Fri Dec 15, 2023 2:58PM","{'lat': 10.3234205, 'lng': 123.8801952}",123.8801952,10.3234205
2,Archdiocesan Shrine of Our Lady of Lourdes,"F. Llamas St., Punta Princesa, Cebu City, Cebu",(+6332) 261-5393,,Mon-Sat: 5:00PM - 6:00PM,,Mon-Sat,"Mon Apr 10, 2023 8:22PM","{'lat': 10.2955481, 'lng': 123.8698331}",123.8698331,10.2955481
3,Archdiocesan Shrine of San Roque,"Mambaling, Cebu City, Cebu",0949 622 9930,,Wed and Fri: 5:45AM and 5:45PM,,,"Sun Aug 11, 2024 9:52PM","{'lat': 10.288614, 'lng': 123.8788002}",123.8788002,10.288614
4,Archdiocesan Shrine of St. Arnold Janssen,"Janssensite, Basak-San Nicolas, Cebu City, Cebu",236-2290,,,,Holy Hour: Thursday before First Friday at 8PM,"Sat Apr 29, 2023 10:03AM","{'lat': 10.2882313, 'lng': 123.8718252}",123.8718252,10.2882313
5,Archdiocesan Shrine of St. Therese of the Child Jesus,"Pasteur cor. Edison Sts., Lahug, Cebu City, Cebu","233-4964, 0915 120 1783",,,,,"Sun Aug 11, 2024 9:59PM","{'lat': 10.3315516, 'lng': 123.9011532}",123.9011532,10.3315516
6,Ayala Center Cebu,"Chapel at 4th Floor, Ayala Mall, Cebu Business Park, Cebu City, Cebu",,,,,Sto. Niño Novena Mass -  January 11 to 19 at 6:00PM,"Mon Jan 8, 2024 6:10PM","{'lat': 10.318902, 'lng': 123.904035}",123.904035,10.318902
7,Basilica Minore del Sto. Niño,"Osmeña Blvd., Cebu City, Cebu",(32) 255 - 6697 to 99,,,,,"Fri Jan 5, 2024 9:31AM","{'lat': 10.3043122, 'lng': 123.8951679}",123.8951679,10.3043122
8,Blessed Sacrament Parish,"Reclamation Area, Cebu City, Cebu",232-0078,Fr. Wilfredo C. Borces,Just approach Priest,,,"Tue Sep 3, 2013 12:40AM","{'lat': 10.323845, 'lng': 123.9054095}",123.9054095,10.323845
9,Carmelite Monastery,"Juan Luna Ave., Cebu City, Cebu",231-5931,,,,,"Fri Dec 15, 2023 10:59PM","{'lat': 10.3196098, 'lng': 123.9113617}",123.9113617,10.3196098
10,Cebu Archdiocesan Shrine of San Pedro Calungsod,"Archbishop's Residence Compound, D Jakosalem St., Cebu City, Cebu",(032) 255 2170,,,,,"Fri Dec 23, 2022 10:28AM","{'lat': 10.3090326, 'lng': 123.8976891}",123.8976891,10.3090326
11,Cebu Metropolitan Cathedral,"P. Burgos St., Cebu City, Cebu",2558823 / 2536422,,"Wed and Fri: 10AM - 12NN, 4PM -6PM",,,"Sun Aug 11, 2024 10:36PM","{'lat': 10.2949148, 'lng': 123.9033405}",123.9033405,10.2949148
12,Chapel of Our Lady of the Miraculous Medal(Asilo De La Milagrosa),"Gorordo Avenue, Lahug, Cebu City, Cebu",232-2443,,,,,"Sat Apr 29, 2023 10:32PM","{'lat': 10.3247655, 'lng': 123.8982438}",123.8982438,10.3247655
13,Chapel of San Pedro Calungsod,"Church Ave., SM Seaside Complex (SRP), Cebu City, Cebu","(032) 345 8924, 0923-463-1292",,,,,"Sun Aug 11, 2024 10:41PM","{'lat': 10.2817312, 'lng': 123.8806068}",123.8806068,10.2817312
14,Holy Cross Parish,"Basak, Pardo, Cebu City, Cebu",416-3588,,,,,"Fri Apr 28, 2023 11:17PM","{'lat': 10.2854367, 'lng': 123.8648496}",123.8648496,10.2854367
15,Mary Coredemptrix Church,"Talamban, Cebu City, Cebu",0970 153 2912,,By Appointment,,,"Fri Apr 28, 2023 11:19PM","{'lat': 10.3693292, 'lng': 123.9169018}",123.9169018,10.3693292
16,Mary Help of Christians,"Buhisan, Cebu City, Cebu",2621140,,,,,"Sat Nov 28, 2020 11:14AM","{'lat': 10.3149877, 'lng': 123.8495015}",123.8495015,10.3149877
17,Our Lady of Mt. Carmel Parish - Recoletos,"Cor. Magallanes - Leon Kilat Sts., Cebu City, Cebu",253-4396,,"First Fridays, First Saturdays and Sundays before the Mass",,,"Mon May 29, 2023 9:43AM","{'lat': 10.2934271, 'lng': 123.8970143}",123.8970143,10.2934271
18,Our Lady of the Sacred Heart (Capitol Parish),"N. Escario St., Camputhaw, Cebu City, Cebu",255-8516,,Mon-Sat: 4PM  at the Garden Area,,,"Fri Dec 15, 2023 11:16PM","{'lat': 10.3179446, 'lng': 123.8970851}",123.8970851,10.3179446
19,Redemptorist Church,"R. Aboitiz Street, Queen's Road, Cebu City, Cebu",253-6341 / 463-0700 / 0932-1400876 / 0995 691 7894,,"Tue, Thu, Fri and Sat: 9AM-10AM and 3PM-4PM",,,"Sun Aug 11, 2024 10:44PM","{'lat': 10.3129877, 'lng': 123.8964483}",123.8964483,10.3129877
20,Sacred Heart Parish,"D. Jakosalem St., Cebu City, Cebu",316-1781 / 505-6356 / 0917-7054001 / 0917-1025443,,"Wed, Fri and Sat: 530-6PM - Sun: 9AM, 1030AM and 5PM",,,"Sat Apr 29, 2023 9:00AM","{'lat': 10.3023118, 'lng': 123.9005693}",123.9005693,10.3023118
21,San Isidro Labrador Parish,"Talamban, Cebu City, Cebu","344-3378, 0932 592 7809",,Mon-Sat: after the Mass,,,"Sat Apr 29, 2023 9:03AM","{'lat': 10.3693292, 'lng': 123.9169018}",123.9169018,10.3693292
22,San Lorenzo Ruiz Parish,"Tisa, Cebu City, Cebu",261-4850,,Can be done by setting-up for an appointment through our parish office.,,"Office Hours: 9-12PM, 2-6PM","Fri Dec 15, 2023 2:41PM","{'lat': 10.3033603, 'lng': 123.8662448}",123.8662448,10.3033603
23,San Nicolas de Tolentino Parish,"C. Padilla  St., Cebu City, Cebu",261-0848,,,,All Masses  are Livestreamed via Facebook,"Fri Dec 15, 2023 2:29PM","{'lat': 10.2929555, 'lng': 123.8859488}",123.8859488,10.2929555
24,San Pedro Calungsod Parish,"Pulangbato, Cebu City, Cebu",407-0252,,1st Friday: 5:00PM,,Special Masses,"Sat Apr 29, 2023 9:15AM","{'lat': 10.3979941, 'lng': 123.9025114}",123.9025114,10.3979941
25,San Vicente Ferrer Parish,"Sambag 2, Cebu City, Cebu",256-1491 / 256-1492,,,,,"Sat Apr 29, 2023 9:56AM","{'lat': 10.3059021, 'lng': 123.8906566}",123.8906566,10.3059021
26,St. Augustine of Hippo Quasi-Parish,"Lower Inayawan, Cebu City, Cebu",(032) 415 1098,,,,,"Sat May 1, 2021 1:30PM","{'lat': 10.2685582, 'lng': 123.8648496}",123.8648496,10.2685582
27,St. John Paul II Chapel,"4th Floor, Ayala Malls Central Bloc, IT Park, Cebu City, Cebu",(032) 410 8800,,,,,"Sun Aug 11, 2024 10:47PM","{'lat': 10.3306811, 'lng': 123.9073198}",123.9073198,10.3306811
28,St. John XXIII Minore Chapel,"23 Minore Park, Cebu City, Cebu",0947 842 8792,,,,,"Sat Dec 17, 2022 9:47AM","{'lat': 10.3207297, 'lng': 123.9104712}",123.9104712,10.3207297
29,St. Joseph the Patriarch Parish,"Mabolo, Cebu City, Cebu",0923 845 5220,,,,,"Fri Dec 15, 2023 11:13PM","{'lat': 10.3118919, 'lng': 123.9164563}",123.9164563,10.3118919
30,St. Joseph the Worker (Chaplaincy),"ALU, Port Area, Cebu City, Cebu",76147,,,,,"Tue Sep 3, 2013 12:56AM","{'lat': 10.3156992, 'lng': 123.8854366}",123.8854366,10.3156992
31,Sto. Niño Parish,"Guba, Cebu City, Cebu",,,,,,"Sat Apr 29, 2023 10:19AM","{'lat': 10.4283049, 'lng': 123.8913539}",123.8913539,10.4283049
32,Sto. Niño Parish,"Pasil, Cebu City, Cebu",261-0062,,,,,"Sat Apr 29, 2023 10:24AM","{'lat': 10.29094, 'lng': 123.8948408}",123.8948408,10.29094
33,Sto. Rosario Parish,"P. Del Rosario St., Cebu City, Cebu","(032) 273-3114, 0923-6405251, 0995-6370053",,Mon-Sat: 10:30AM - 11:30AM and 4:00PM - 5:00PM,,,"Thu Oct 24, 2024 8:14PM","{'lat': 10.3017, 'lng': 123.90152}",123.90152,10.3017
34,Sto. Tomas de Villanueva Parish,"Pardo, Cebu City, Cebu",(032) 272 6162,,,,Cemetery Masses,"Sat Apr 29, 2023 10:30AM","{'lat': 10.2822578, 'lng': 123.8508969}",123.8508969,10.2822578
35,Virgen delos Remedios Parish,"Labangon -Calamba, Cebu City, Cebu",261-2247,,,,,"Sat Apr 29, 2023 10:37AM","{'lat': 10.3027794, 'lng': 123.8864721}",123.8864721,10.3027794
0,Ascension of the Lord Parish,"GSIS Heights, Matina, Davao City, Davao del Sur",(082) 296 2051,,Every First Thursday of the Month (7:00AM),,,"Fri Dec 15, 2023 10:20PM","{'lat': 7.059551, 'lng': 125.5726361}",125.5726361,7.059551
1,Immaculate Conception Parish,"8022 Mintal, Davao City, Davao del Sur",293-0009,,,,,"Mon May 15, 2023 12:10AM","{'lat': 7.091430399999999, 'lng': 125.4946236}",125.4946236,7.091430399999999
2,Immaculate Conception Parish of Peñaplata,"Peñaplata, Island Garden City of Samal, Davao City, Davao del Sur",,,,,,"Tue Jan 10, 2023 9:21PM","{'lat': 7.074277299999999, 'lng': 125.7161156}",125.7161156,7.074277299999999
3,Our Lady of Fatima Parish,"101 Aurora Quezon St, Poblacion District, Davao City, Davao del Sur",(082) 227 2503,,,,,"Mon May 8, 2023 6:48PM","{'lat': 7.0697246, 'lng': 125.6187353}",125.6187353,7.0697246
4,Our Lady of Guadalupe Parish,"Phase 6 Deca Homes, Tugbok, Davao City, Davao del Sur",,,,,,"Mon May 8, 2023 7:17PM","{'lat': 7.112945099999999, 'lng': 125.4965107}",125.4965107,7.112945099999999
5,Our Lady of Lourdes Parish,"Cordillera Street, Central Park Subdivision, Bangkal, Davao City, Davao del Sur",,,,,,"Mon May 8, 2023 7:21PM","{'lat': 7.055879, 'lng': 125.5558413}",125.5558413,7.055879
6,Our Lady of the Assumption Parish,"F. Torres Street, Davao City, Davao del Sur","227-4043, 0966-3045442",,,,,"Mon May 8, 2023 7:22PM","{'lat': 7.0785665, 'lng': 125.606912}",125.606912,7.0785665
7,Our Mother of Perpetual Help Parish (Redemptorist Church),"J. P. Laurel Ave., Bajada, Davao City, Davao del Sur","(082) 224 0476 / 224-0478, 0917 100 8433",,Tue-Fri: -4:30PM to 5:30PM,,,"Fri Dec 15, 2023 8:21AM","{'lat': 7.0782333, 'lng': 125.6140069}",125.6140069,7.0782333
8,Sacred Heart of Jesus Parish,"N. Torres St., Bo. Obrero, Davao City, Davao del Sur",227-6397; 305-2329,,,,,"Tue Jan 10, 2023 9:48PM","{'lat': 7.085991, 'lng': 125.613566}",125.613566,7.085991
9,Sacred Heart of Jesus Parish of Calinan,"Datu Abing Street, Calinan, Davao City, Davao del Sur",(082) 295-0176,,,,,"Tue Jan 10, 2023 9:55PM","{'lat': 7.1867493, 'lng': 125.4551526}",125.4551526,7.1867493
10,Saint Francis of Assisi Parish,"Maa, Davao City, Davao del Sur",(082) 299 2072,,,,,"Sat Aug 6, 2022 5:40PM","{'lat': 7.0837708, 'lng': 125.5821994}",125.5821994,7.0837708
11,San Alfonso de Ligouri Parish,"Mandug, Davao City, Davao del Sur",082-300-6617,"Rev. Fr. Jemasol R. Ortiz, DCD",,,,"Mon May 15, 2023 12:11AM","{'lat': 7.1559759, 'lng': 125.5821994}",125.5821994,7.1559759
12,San Antonio de Padua Parish - Agdao,"Holy Cross Drive, Brgy. San Antonio, Agdao, Davao City, Davao del Sur",(082) 226 3652,,,,Wednesday: 5PM Perpetual Novena to Our Mother of Perpetual Help,"Mon Apr 12, 2021 4:55PM","{'lat': 7.0892262, 'lng': 125.6281688}",125.6281688,7.0892262
13,San Francisco de Asis,"Barangay Tagakpan, Tugbok District, Davao City, Davao del Sur",0912 662 9846,,,,,"Mon May 15, 2023 12:18AM","{'lat': 7.126014199999999, 'lng': 125.4313467}",125.4313467,7.126014199999999
14,San Isidro Labrador Parish,"Catalunan Grande, Davao City, Davao del Sur",298-3097,,,,,"Sat Sep 7, 2013 9:33AM","{'lat': 7.087601599999999, 'lng': 125.5384234}",125.5384234,7.087601599999999
15,San Isidro Labrador Parish,"Lumondao, Marilog District, Davao City, Davao del Sur",,,,,,"Mon May 15, 2023 12:23AM","{'lat': 7.277804000000001, 'lng': 125.3105347}",125.3105347,7.277804000000001
16,San Lorenzo Ruiz Parish,"Talomo, Davao City, Davao del Sur",297-1579,,,,,"Mon May 15, 2023 12:34AM","{'lat': 7.054708, 'lng': 125.5455756}",125.5455756,7.054708
17,San Miguel Parish,"Km. 14, Panacan, Davao City, Davao del Sur",(082) 238 3386,,,,,"Mon May 15, 2023 8:37PM","{'lat': 7.1511587, 'lng': 125.6487664}",125.6487664,7.1511587
18,San Miguel Parish,"Marahan, Davao City, Davao del Sur",,,,,,"Mon May 15, 2023 8:18PM","{'lat': 7.4137622, 'lng': 125.2483091}",125.2483091,7.4137622
19,San Pablo Parish,"Juna Subdivision, Matina, Davao City, Davao del Sur",296-2824 & 299-4155,,,,,"Thu Dec 15, 2022 9:03PM","{'lat': 7.0747672, 'lng': 125.5651028}",125.5651028,7.0747672
20,San Pedro Cathedral,"San Pedro Street, Davao City, Davao del Sur",(082) 226-4740; Fax: (082) 221-0191,,"every Wed & Fri,5:30-6:30",,,"Sat Mar 25, 2023 7:31PM","{'lat': 7.0650584, 'lng': 125.608508}",125.608508,7.0650584
21,San Pedro Poveda Parish,"Km. 11, Brgy. Catalunan Pequeño, Talomo District, Davao City, Davao del Sur",0970 886 7766,,,,,"Sun May 14, 2023 11:57PM","{'lat': 7.075947, 'lng': 125.5181453}",125.5181453,7.075947
22,San Roque Parish,"Malabog, Paquibato District, Davao City, Davao del Sur",,,,,,"Mon May 15, 2023 8:27PM","{'lat': 7.3319482, 'lng': 125.4091967}",125.4091967,7.3319482
23,Shrine of the Holy Infant Jesus of Prague,"Shrine Hills, Matina, Davao City, Davao del Sur",,,,,,"Thu Mar 31, 2022 3:45PM","{'lat': 7.066129699999999, 'lng': 125.5791509}",125.5791509,7.066129699999999
24,St. Francis of Assisi Parish,"La Verna Hills Subd., Davao City, Davao del Sur",284-4882,Rev. Fr. Pedro Lamata,,,,"Thu Dec 22, 2022 9:40PM","{'lat': 7.1222422, 'lng': 125.6341245}",125.6341245,7.1222422
25,St. Francis Xavier Parish,"Purok 2, Tibungco, Davao City, Davao del Sur",082) 238 0162,,,,,"Mon May 15, 2023 8:33PM","{'lat': 7.196282500000001, 'lng': 125.6368861}",125.6368861,7.196282500000001
26,St. James the Apostle Parish,"8017 Bunawan, Davao City, Davao del Sur",236-0120,Rev. Fr. Jovilo Jonathan Bonggay,,,,"Wed Mar 17, 2010 10:43AM","{'lat': 7.224728799999999, 'lng': 125.6408633}",125.6408633,7.224728799999999
27,St. John the Baptist Parish,"Lasang, Davao City, Davao del Sur",0956 816 5622,,,,,"Mon May 15, 2023 8:40PM","{'lat': 7.2666242, 'lng': 125.6587503}",125.6587503,7.2666242
28,St. Joseph the Worker Parish,"Sasa, Davao City, Davao del Sur",0925-799-2838 or 0905-513-6319 or 322-0283,,,,,"Fri Sep 9, 2022 5:50PM","{'lat': 7.1296259, 'lng': 125.6505519}",125.6505519,7.1296259
29,St. Jude Parish,"Malvar Street, Davao City, Davao del Sur",(082) 227 5402,,,,,"Sun Mar 26, 2023 10:51AM","{'lat': 7.0722844, 'lng': 125.6023659}",125.6023659,7.0722844
30,St. Mary of the Perpetual Parish,"Buhangin, Davao City, Davao del Sur",241-0438,Fr. Pedro Lamata,Sat. & Sun: 4:00PM,,,"Sat Aug 6, 2022 5:25PM","{'lat': 7.1590395, 'lng': 125.5986093}",125.5986093,7.1590395
31,Sta. Ana Shrine Parish,"Sta. Ana Avenue, Davao City, Davao del Sur",227-3842,,,,,"Tue May 3, 2022 10:39PM","{'lat': 7.0769237, 'lng': 125.6195339}",125.6195339,7.0769237
32,Sto. Niño Parish - Kaputian,"Island Garden City of Samal, Davao City, Davao del Sur",,,,,,"Mon May 15, 2023 8:48PM","{'lat': 7.103312, 'lng': 125.7188463}",125.7188463,7.103312
33,Sto. Rosario Parish - Toril,"Juan Dela Cruz Street, Davao City, Davao del Sur",291-0635; 291-4353,,,,,"Mon May 15, 2023 8:52PM","{'lat': 7.0106345, 'lng': 125.5027861}",125.5027861,7.0106345
34,The Holy Family Parish,"Brgy. Baliok, Davao City, Davao del Sur",,,,,,"Sun May 14, 2023 11:44PM","{'lat': 7.0468639, 'lng': 125.5006627}",125.5006627,7.0468639
0,Holy Cross Parish,"Calumpang, General Santos City, South Cotabato","(083) 822-1583, 0945-314-3820, 0981-106-3820",,,,Baptism: Sunday @ 11:00am,"Sat Sep 16, 2023 10:30AM","{'lat': 6.072172900000001, 'lng': 125.1323788}",125.1323788,6.072172900000001
1,Our Lady of Fatima Parish,"Purok 12, NASA Village, Barangay Fatima, General Santos City, South Cotabato",(083) 552 2534,,,,,"Mon May 1, 2023 8:48PM","{'lat': 6.074654799999999, 'lng': 125.1150573}",125.1150573,6.074654799999999
2,Our Lady of Peace and Good Voyage,"General Santos City, General Santos City, South Cotabato",12345678,,Friday: 6:30 - 7:30 pm,,,"Sun Aug 2, 2020 3:30PM","{'lat': 6.1163861, 'lng': 125.171618}",125.171618,6.1163861
3,St. Francis of Assisi Parish,"Barangay Mabuhay, General Santos City, South Cotabato",,,,,,"Sat Sep 16, 2023 10:11AM","{'lat': 6.227597299999999, 'lng': 125.1378792}",125.1378792,6.227597299999999
4,St. Gabriel of Our Lady of Sorrows Parish,"Marcos Ave., Apopong, General Santos City, South Cotabato","500-9657, 0963-233-2151",,Fri: 5PM,,,"Mon May 1, 2023 3:27PM","{'lat': 6.1338242, 'lng': 125.1299121}",125.1299121,6.1338242
5,St. Michael the Archangel Parish,"Yumang St., Zaldivar Subd., City Heights, General Santos City, South Cotabato",0991 793 3013,,,,Baptism: Sunday 10:30AM,"Mon May 1, 2023 3:03PM","{'lat': 6.1316314, 'lng': 125.1676448}",125.1676448,6.1316314
6,Sto. Niño de Bula Parish,"Bula, General Santos City, South Cotabato",,,,,,"Sun Mar 28, 2021 4:47PM","{'lat': 6.105264099999999, 'lng': 125.1956117}",125.1956117,6.105264099999999
7,Sts. Peter and Paul Parish (Lagao Parish),"San Pablo St., Lagao, General Santos City, South Cotabato",(083) 500 2012,,,,,"Tue Jan 24, 2023 10:21AM","{'lat': 6.1247117, 'lng': 125.1946342}",125.1946342,6.1247117
0,Birhen Sa Sto. Rosario Parish,"Tipanoy, Iligan City, Lanao del Norte",,,,,,"Mon May 1, 2023 9:44AM","{'lat': 8.1988409, 'lng': 124.2504956}",124.2504956,8.1988409
1,Corpus Christi Parish,"Corpus Christi Street, Tubod, Iligan City, Lanao del Norte",(063) 221-2794,,,,,"Tue Sep 12, 2023 8:03PM","{'lat': 8.2166667, 'lng': 124.2375}",124.2375,8.2166667
2,Immaculate Conception Parish,"Bahayan, Luinab, Iligan City, Lanao del Norte",,,,,,"Mon May 1, 2023 9:01AM","{'lat': 8.2467579, 'lng': 124.2711079}",124.2711079,8.2467579
3,Lord of the Holy Cross Parish,"Isabel Village, Palao, Iligan City, Lanao del Norte",(063) 221 8862,,,,,"Sun Apr 30, 2023 9:13PM","{'lat': 8.225692000000002, 'lng': 124.2576127}",124.2576127,8.225692000000002
4,Our Lady of Fatima Parish,"Digkilaan , Iligan City, Lanao del Norte",,,,,,"Mon May 1, 2023 9:57AM","{'lat': 8.2020115, 'lng': 124.5306837}",124.5306837,8.2020115
5,Our Mother of Perpetual Help Church (Redemptorist Church),"Maria Cristina Subdivision, Iligan City, Lanao del Norte",(063) 221 5701,,Tue-Sat: 4:30PM - 5:15PM,,,"Sun Sep 10, 2023 10:57PM","{'lat': 8.1824032, 'lng': 124.2032483}",124.2032483,8.1824032
6,Resurrection Of the Lord Parish,"Lanao Chung Hua Rd, Iligan City, Lanao del Norte",(063) 221 1269,,,,,"Mon May 1, 2023 9:37AM","{'lat': 8.2300201, 'lng': 124.2535942}",124.2535942,8.2300201
7,San Isidro Labrador Parish,"Buru-un, Iligan City, Lanao del Norte",0953 273 9297,,,,,"Mon May 1, 2023 8:14AM","{'lat': 8.1824675, 'lng': 124.178225}",124.178225,8.1824675
8,San Jose Obrero Parish,"Road 22, Purok 2, Barangay Sta Elena, Iligan City, Lanao del Norte",(063) 492 2740,,,,,"Mon May 1, 2023 8:23AM","{'lat': 8.2367407, 'lng': 124.2421839}",124.2421839,8.2367407
9,San Lorenzo Ruiz Parish,"Tambo, Hinaplanon, Iligan City, Lanao del Norte",0632211626,,,,,"Mon May 1, 2023 8:35AM","{'lat': 8.2440135, 'lng': 124.2591197}",124.2591197,8.2440135
10,San Pedro Calungsod Parish,"Kabacsanan, Iligan City, Lanao del Norte",,,,,,"Sun Sep 10, 2023 11:04PM","{'lat': 8.2753122, 'lng': 124.3032719}",124.3032719,8.2753122
11,San Roque Parish,"Kiwalan, Iligan City, Lanao del Norte",0956 480 0901,,,,,"Sun Apr 30, 2023 9:38PM","{'lat': 8.2972109, 'lng': 124.2699432}",124.2699432,8.2972109
